                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.68826,                 0.9835,                0.63328,                 0.9993,                0.53241,                0.68434,                0.55433,                0.30952,                0.52605,                0.60764,                0.50943,                0.24765,                 1.5056,                 2.7066,                 2.5899,                 1.6941,              0.0016354,              0.0016354,              0.0016354
                     55,                0.66091,                0.83712,                0.60172,                0.97641,                0.57957,                0.73611,                0.64592,                  0.353,                0.66785,                0.64931,                0.63545,                0.29854,                 1.4411,                 3.1241,                 1.9911,                 1.7525,              0.0016342,              0.0016342,              0.0016342
                     56,                0.69394,                0.99593,                0.60413,                 1.0062,                0.82327,                0.73958,                0.81468,                0.57654,                0.84699,                   0.72,                0.75525,                 0.4298,                 1.0058,                 3.3545,                 1.2463,                 1.2118,               0.001633,               0.001633,               0.001633
                     57,                0.70552,                0.92881,                0.61271,                0.99542,                0.75452,                0.65405,                0.71392,                0.48813,                0.82657,                0.70486,                0.67592,                0.41303,                 1.1465,                 3.5867,                 1.4518,                 1.3301,              0.0016318,              0.0016318,              0.0016318
                     58,                0.68134,                0.97206,                0.58386,                 1.0083,                 0.7262,                0.78819,                0.72777,                0.48613,                0.69857,                0.76042,                0.72685,                0.46337,                 1.0833,                  3.791,                 1.4232,                 1.3113,              0.0016305,              0.0016305,              0.0016305
                     59,                0.67594,                0.91924,                0.58363,                0.98495,                0.83759,                0.67968,                0.77527,                0.50314,                0.79973,                 0.6519,                0.73844,                0.44837,                 1.1827,                 4.0937,                  1.302,                 1.4334,              0.0016292,              0.0016292,              0.0016292
                     60,                0.71164,                0.92491,                0.58846,                 1.0034,                0.69301,                0.72067,                0.75593,                0.49804,                0.84597,                0.57036,                0.73739,                0.44312,                 1.1978,                   4.84,                 1.4312,                 1.4979,              0.0016279,              0.0016279,              0.0016279
                     61,                0.67184,                0.88067,                0.56259,                 0.9879,                0.68386,                0.73893,                0.73803,                0.51769,                0.73751,                0.74884,                0.76892,                0.45793,                  1.059,                 5.4187,                  1.363,                 1.3721,              0.0016266,              0.0016266,              0.0016266
                     62,                0.64527,                0.80092,                0.56817,                0.98834,                0.86844,                0.79264,                0.80928,                0.58073,                0.86844,                0.79264,                0.81015,                0.49482,                0.93824,                 5.3585,                 1.2878,                 1.2235,              0.0016253,              0.0016253,              0.0016253
                     63,                0.62888,                0.81458,                0.56574,                0.97834,                0.86671,                0.77698,                0.81376,                0.57874,                0.86671,                0.77698,                0.81311,                0.52395,                0.95815,                 4.5465,                   1.21,                 1.2304,              0.0016239,              0.0016239,              0.0016239
                     64,                0.67641,                 1.0345,                0.59476,                0.99437,                0.92722,                0.72459,                0.81829,                0.59951,                0.92722,                0.72459,                0.81829,                 0.5392,                0.98988,                 3.2472,                 1.2055,                  1.225,              0.0016225,              0.0016225,              0.0016225
                     65,                0.65935,                0.90907,                0.55547,                0.98519,                0.88394,                0.73544,                0.78972,                0.62111,                0.84497,                0.70833,                0.74791,                 0.5078,                0.89475,                 2.5321,                 1.2564,                 1.1469,              0.0016211,              0.0016211,              0.0016211
                     66,                0.62516,                0.81844,                0.54592,                0.96947,                0.82706,                0.72917,                 0.7895,                0.57778,                0.82706,                0.72917,                 0.7874,                0.48355,                 0.8491,                 3.0167,                 1.3253,                 1.0763,              0.0016197,              0.0016197,              0.0016197
                     67,                0.63033,                0.83897,                0.52951,                0.95691,                0.69484,                0.81944,                0.78786,                0.59756,                0.69484,                0.81944,                0.78707,                0.53363,                0.79783,                 3.3248,                 1.3028,                 1.0469,              0.0016182,              0.0016182,              0.0016182
                     68,                0.63228,                 0.8478,                0.52411,                0.95788,                0.79219,                0.72752,                 0.7739,                0.54642,                0.72026,                0.74071,                0.75901,                0.46634,                0.92171,                 2.8427,                 1.3326,                 1.1695,              0.0016167,              0.0016167,              0.0016167
                     69,                0.64147,                  0.874,                0.54876,                0.96812,                0.90996,                0.77018,                 0.8502,                0.62955,                0.90642,                0.76389,                0.81238,                0.55613,                0.80665,                 2.6187,                 1.0457,                 1.0971,              0.0016152,              0.0016152,              0.0016152
                     70,                 0.6565,                0.89044,                0.55376,                0.96292,                0.85322,                0.70349,                0.82857,                0.60028,                0.75912,                0.79167,                0.81351,                0.58311,                 0.8901,                 3.0577,                 1.0551,                 1.1109,              0.0016137,              0.0016137,              0.0016137
                     71,                0.64589,                 0.8751,                0.54024,                0.95681,                0.82626,                0.73958,                0.80699,                0.55614,                0.83329,                 0.7596,                0.77192,                0.54388,                 1.0184,                 3.0972,                  1.296,                 1.2427,              0.0016122,              0.0016122,              0.0016122
                     72,                0.65952,                0.90075,                0.54506,                0.99274,                0.63219,                0.76986,                0.72423,                0.42733,                0.70853,                0.68601,                0.69762,                0.41316,                 1.3044,                 3.0357,                 1.4973,                 1.6986,              0.0016106,              0.0016106,              0.0016106
                     73,                0.66341,                0.85619,                0.57878,                0.96657,                0.71899,                0.70512,                0.72159,                0.42985,                0.71899,                0.70512,                0.69439,                0.41985,                 1.4518,                 2.8948,                 1.2902,                 1.8073,              0.0016091,              0.0016091,              0.0016091
                     74,                0.65582,                0.80489,                0.54631,                0.96046,                0.78472,                0.70683,                0.79978,                0.51113,                0.79063,                0.70486,                0.77934,                0.48952,                 1.1219,                 2.3715,                 1.1429,                 1.4441,              0.0016075,              0.0016075,              0.0016075
                     75,                0.60967,                0.78871,                 0.5226,                0.95273,                  0.764,                0.76389,                0.80013,                0.55915,                0.76577,                0.76869,                0.82208,                0.54313,                0.96325,                 2.2612,                0.96193,                 1.2284,              0.0016058,              0.0016058,              0.0016058
                     76,                 0.6207,                0.84196,                0.51342,                0.95181,                0.84658,                0.84764,                0.84293,                0.63646,                 0.8889,                0.77947,                0.83738,                0.62088,                0.92027,                 2.3411,                0.86251,                 1.1344,              0.0016042,              0.0016042,              0.0016042
                     77,                0.63792,                0.89128,                0.50434,                 0.9741,                0.88942,                0.81944,                0.85354,                0.60999,                0.85751,                0.79167,                0.86723,                0.59172,                0.93943,                 2.6174,                0.82011,                 1.1525,              0.0016025,              0.0016025,              0.0016025
                     78,                0.66011,                0.78631,                0.54892,                0.98691,                0.83627,                0.83849,                0.86783,                0.64337,                0.80551,                0.81132,                0.85939,                0.60947,                0.94223,                 2.2016,                0.77571,                 1.1638,              0.0016008,              0.0016008,              0.0016008
                     79,                0.61476,                0.79126,                0.53502,                0.96896,                0.95889,                0.83613,                0.87034,                0.66397,                 0.9279,                0.80835,                0.86009,                0.62767,                0.85769,                 2.0676,                0.80536,                 1.1092,              0.0015991,              0.0015991,              0.0015991
                     80,                 0.6245,                0.88514,                0.52766,                0.96736,                0.87043,                0.73665,                0.81939,                0.62289,                0.85273,                0.77339,                0.83217,                 0.5905,                0.87843,                 2.0204,                0.96692,                 1.1222,              0.0015974,              0.0015974,              0.0015974
                     81,                0.59453,                0.76853,                0.50685,                0.94614,                0.92075,                0.72378,                0.83941,                0.62632,                0.92075,                0.72378,                0.84793,                0.59701,                0.87207,                 1.9954,                0.85285,                 1.0985,              0.0015957,              0.0015957,              0.0015957
                     82,                0.58924,                0.84707,                0.51912,                0.95356,                0.88117,                0.64583,                0.74804,                0.57251,                0.87672,                0.76389,                0.79379,                0.55507,                0.89406,                 1.9169,                 1.0374,                  1.149,              0.0015939,              0.0015939,              0.0015939
                     83,                0.63844,                0.80302,                0.52032,                 0.9704,                 0.7301,                0.73097,                0.75506,                0.59587,                0.83466,                0.73264,                0.78898,                0.56585,                0.91106,                 1.9033,                 1.0242,                 1.1832,              0.0015921,              0.0015921,              0.0015921
                     84,                0.58572,                0.77426,                0.49196,                 0.9461,                0.80749,                 0.7604,                0.79264,                0.59165,                 0.7527,                0.76042,                0.78363,                0.53599,                0.89162,                 2.1163,                 1.1205,                 1.2184,              0.0015903,              0.0015903,              0.0015903
                     85,                 0.6155,                0.83599,                0.50784,                0.95536,                0.85852,                0.85069,                0.82531,                0.61056,                0.82669,                0.82292,                0.79459,                0.55258,                0.87292,                  2.282,                 1.0469,                 1.1831,              0.0015885,              0.0015885,              0.0015885
                     86,                0.61501,                 0.7518,                0.49683,                0.95201,                 0.9189,                 0.8187,                0.89754,                0.67098,                0.88335,                 0.8224,                0.88687,                0.64578,                0.92062,                 2.0704,                0.86316,                 1.1988,              0.0015866,              0.0015866,              0.0015866
