                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.79114,                0.63415,                 1.0611,                 0.9007,                0.86351,                 0.9123,                0.74206,                0.77508,                0.60545,                 1.0153,              0.0088969,              0.0088969,              0.0088969
                     67,                0.78889,                0.62329,                  1.053,                0.92318,                0.85695,                0.93277,                  0.751,                0.78296,                0.54324,                 1.0103,               0.008864,               0.008864,               0.008864
                     68,                0.78401,                0.61716,                 1.0457,                0.89108,                0.88245,                 0.9269,                0.75308,                0.76702,                0.57511,                 1.0099,              0.0088308,              0.0088308,              0.0088308
                     69,                0.76817,                0.60618,                 1.0562,                0.88693,                0.89123,                0.92222,                0.76142,                0.76074,                0.54818,                 1.0084,              0.0087971,              0.0087971,              0.0087971
                     70,                0.78067,                0.59999,                 1.0519,                0.92838,                0.88396,                0.94269,                0.76598,                0.75329,                0.51314,                 0.9839,               0.008763,               0.008763,               0.008763
                     71,                0.75978,                0.59528,                 1.0381,                0.91287,                0.83687,                0.92735,                0.75467,                 0.7398,                  0.585,                 1.0024,              0.0087286,              0.0087286,              0.0087286
                     72,                0.77372,                0.60413,                  1.054,                0.90681,                0.88126,                0.92389,                0.75614,                0.76649,                0.53225,                 1.0096,              0.0086937,              0.0086937,              0.0086937
                     73,                 0.7684,                0.59291,                 1.0436,                0.93082,                  0.865,                0.92691,                 0.7496,                0.79973,                 0.5577,                 1.0279,              0.0086584,              0.0086584,              0.0086584
                     74,                0.77476,                0.60653,                 1.0554,                0.89814,                0.84647,                 0.9092,                0.73625,                0.80578,                0.61425,                 1.0311,              0.0086227,              0.0086227,              0.0086227
                     75,                0.75797,                0.59069,                 1.0412,                0.90513,                0.88372,                0.92377,                0.76772,                0.78021,                0.53305,                 1.0358,              0.0085866,              0.0085866,              0.0085866
                     76,                0.76771,                0.60095,                 1.0486,                0.89879,                0.86093,                0.92376,                0.76133,                0.75334,                0.54565,                0.98906,              0.0085502,              0.0085502,              0.0085502
                     77,                0.75823,                0.59111,                 1.0377,                0.88435,                0.87891,                0.90969,                0.73555,                0.81602,                0.54413,                 1.0584,              0.0085133,              0.0085133,              0.0085133
                     78,                0.76304,                0.58123,                 1.0454,                0.91976,                0.86805,                0.93702,                0.76699,                0.76049,                0.51572,                 1.0201,              0.0084761,              0.0084761,              0.0084761
                     79,                  0.764,                0.58756,                 1.0437,                0.91531,                 0.8629,                 0.9258,                0.76299,                0.75508,                0.54477,                 1.0028,              0.0084385,              0.0084385,              0.0084385
                     80,                0.76028,                0.58957,                 1.0463,                0.92129,                0.85419,                0.92077,                0.75248,                0.75942,                 0.5455,                 1.0213,              0.0084005,              0.0084005,              0.0084005
                     81,                0.76369,                0.58194,                 1.0449,                0.94235,                0.85235,                  0.926,                0.75598,                0.74968,                 0.5517,                 1.0123,              0.0083622,              0.0083622,              0.0083622
                     82,                0.74917,                0.56711,                 1.0312,                0.91536,                0.86333,                0.92951,                0.76127,                0.77128,                0.54443,                 1.0307,              0.0083235,              0.0083235,              0.0083235
                     83,                 0.7452,                0.55358,                 1.0275,                0.91168,                0.84258,                0.92859,                0.76014,                0.79609,                0.55659,                 1.0296,              0.0082844,              0.0082844,              0.0082844
                     84,                0.75411,                0.55978,                  1.041,                0.91972,                 0.8602,                0.93288,                0.75972,                0.81719,                0.54308,                 1.0619,               0.008245,               0.008245,               0.008245
